mesh_id,opt,nopt
132438,36.015736,23.243571
301928,112.205159,47.664139
1481537,890.633735,803.908619
54674,283.926757,86.964892
59708,26.910675,6.765563
37627,17.476255,15.655467
95486,163.96314,26.359885
56103,103.930644,42.798059
1581201,314.741246,80.063987
697228,142.561598,61.252646
479926,171.244774,56.051107
293137,12.258029,7.23475
70380,5.00411,4.297564
204955,31.495394,12.767565
674846,17.053491,7.572725
93883,390.444242,474.87029
636796,207.810666,113.867866
130014,8.587742,7.844309
239186,73.848952,25.55393
65778,5.231797,4.551583
85539,878.533623,164.937856
80657,32.073361,13.637283
1129074,44.196014,32.766469
39752,55.094091,36.456331
42036,35.91089,17.65307
96755,93.910531,19.362661
301916,172.550091,72.256937
79937,43.064479,30.085619
100678,17.851567,11.416609
124186,449.119492,170.930669
80755,35.420834,25.557547
126813,112.402269,37.713134
706738,394.73877,79.527613
904480,238.198398,194.261016
213389,29.540256,12.72217
43190,103.517863,11.065529
37863,7.416078,6.009419
65607,19.967982,10.471161
257178,591.952757,338.304443
70833,34.723345,12.266656
358287,649.899216,492.524834
57897,26.171719,7.652278
635745,33.59635,12.475937
98671,40.255124,17.234582
471984,4.153541,2.421484
225957,93.141828,16.876121
613661,90.384495,9.097361
331329,568.935523,579.066537
85114,51.352347,39.485259
1436275,192.958345,78.981053
98018,78.104747,2.513896
91734,274.601863,81.418431
91024,120.617493,13.834139
1102667,328.149464,204.872171
147729,3028.720491,1598.26401
61197,128.637477,33.066133
565653,41.753438,25.562064
82036,140.712214,40.949425
61201,292.917538,185.014813
233337,640.55053,518.523806
208719,19.922802,12.046373
97167,60.78124,40.836363
313917,46.796589,40.760841
76900,153.979503,52.623337
70837,22.9901,12.155083
45122,223.73528,81.146124
53431,46.729381,28.801057
366254,372.990039,209.326782
39347,34.792375,17.539023
73612,827.145603,256.229481
82177,113.029707,42.430668
104401,17.523915,13.831357
196123,52.622642,22.28919
225951,21.321241,9.129107
72361,92.413867,32.37412
220653,40.046438,14.61928
68743,157.454695,32.420736
85112,17.393692,14.123832
1063861,150.645389,70.356019
71154,50.948009,31.191084
104606,2016.724708,2473.357914
298321,119.059935,36.430113
42545,78.200848,40.765326
112542,71.55406,41.224492
519509,12921.468846,2744.71786
64710,161.377068,26.243352
91419,353.957842,157.723332
237183,16.546649,14.992726
87863,116.150911,8.176655
80159,65.317559,38.727186
222782,178.369002,39.706525
77928,81.745547,34.865977
1706478,1249.25637,606.049041
128350,5.034743,4.50965
972830,329.964368,166.061216
1628449,95.636856,3.167548
331812,267.383533,178.390711
